Time Stamp,             PTU VAR 1,    PTU VAR 2,              PTU VAR 3,       PTU VAR 4,    PTU VAR 5,    PTU VAR 6,       PTU VAR 7,              PTU VAR 8,    PTU VAR 9,    PTU VAR 10,        PTU VAR 11,        PTU VAR 12,        PTU VAR 13,     PTU VAR 14,   PTU VAR 15,      PTU VAR 16,                     PTU VAR 17,    PTU VAR 18,   PTU VAR 19,                 PTU VAR 20,              PTU VAR 21,               PTU VAR 22,              PTU VAR 23,   PTU VAR 24,              PTU VAR 25,              PTU VAR 26,   PTU VAR 27,       PTU VAR 28,            PTU VAR 29,          PTU VAR 30,   PTU VAR 31,           PTU VAR 32,        PTU VAR 33,                 PTU VAR 34,         PTU VAR 35,           PTU VAR 36,             PTU VAR 37,   PTU VAR 38,   PTU VAR 39,         PTU VAR 40,          PTU VAR 41,        PTU VAR 42,   PTU VAR 43,   PTU VAR 44,              PTU VAR 45,              PTU VAR 46,                 PTU VAR 47,             PTU VAR 48,   PTU VAR 49,               PTU VAR 50,       PTU VAR 51,   PTU VAR 52,   PTU VAR 53,   PTU VAR 54,   PTU VAR 55,   PTU VAR 56,   PTU VAR 57,   PTU VAR 58,   PTU VAR 59,   PTU VAR 60,   PTU VAR 61,   PTU VAR 62,   PTU VAR 63,   PTU VAR 64,   PTU VAR 65,   PTU VAR 66,   PTU VAR 67,   PTU VAR 68,   PTU VAR 69,   PTU VAR 70,   PTU VAR 71,   PTU VAR 72,   PTU VAR 73,   PTU VAR 74,   PTU VAR 75,   PTU VAR 76,   PTU VAR 77,   PTU VAR 78,   PTU VAR 79,   PTU VAR 80,   
                      ,---,         ATO SW Date  mmddyyyy,  ATO SW Version,  ATO ROM CRC,---,         ATP SW Version,  ATP SW Date  mmddyyyy,  ATP ROM CRC,---,         Map Version-ATP1,  Map Version-ATP2,  Map Version- ATO,  Map Date- ATO,---,         Operating Mode,  Train Operator Mode Selection,  Actual Speed,---,         Actual Location Confirmed,  Actual Location-Region,  Actual Location-Segment,  Actual Location-Offset,---,         Position Error Forward,  Position Error Forward,---,         ATP Speed Limit,  Distance To Front CP,  Reference Velocity,---,         Distance To Station,  Next Platform ID,  TCMS Out Next Platform ID,  Command Direction,  Monitor Motion Mode,  Vehicle Init Complete,---,         Door Status,  Left Doors Enable,  Right Doors Enable,  Actual Direction,---,       ---,         Position Error Forward,  Position Error Reverse,  Head Footprint-Segment ID,  Head Footprint-Offset,---,         Reason For Emer Braking,  NP Read Counter,---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       ---,       
20 Jun 2019 15:56:06:0317,   ,             5102019,                3.2,             0x5145A083,   ,             1.4,             3132019,                0x89C9C5D5,   ,             15.01,             15.01,             15.01,             3182019,        ,             RM_MODE,         NO REQ,                         .00,           ,             FALSE,                      .00,                     .00,                      .00,                     ,             .00,                     .00,                     ,             15.53,            .00,                   .00,                 ,             5000.00,              152,               152,                        SYS_UNDET,          ENF_VZER_SPD,         FALSE,                  ,             ALL_CLOSED,   FALSE,              FALSE,               SYS_UNDET,         ,             ,             .00,                     .00,                     .00,                        .00,                    ,             BRAKES_OK,                .00,              ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             
20 Jun 2019 15:56:06:0377,   ,             5102019,                3.2,             0x5145A083,   ,             1.4,             3132019,                0x89C9C5D5,   ,             15.01,             15.01,             15.01,             3182019,        ,             RM_MODE,         NO REQ,                         .00,           ,             FALSE,                      .00,                     .00,                      .00,                     ,             .00,                     .00,                     ,             15.53,            .00,                   .00,                 ,             5000.00,              152,               152,                        SYS_UNDET,          ENF_VZER_SPD,         FALSE,                  ,             ALL_CLOSED,   FALSE,              FALSE,               SYS_UNDET,         ,             ,             .00,                     .00,                     .00,                        .00,                    ,             BRAKES_OK,                .00,              ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             
20 Jun 2019 15:56:06:0447,   ,             5102019,                3.2,             0x5145A083,   ,             1.4,             3132019,                0x89C9C5D5,   ,             15.01,             15.01,             15.01,             3182019,        ,             RM_MODE,         NO REQ,                         .00,           ,             FALSE,                      .00,                     .00,                      .00,                     ,             .00,                     .00,                     ,             15.53,            .00,                   .00,                 ,             5000.00,              152,               152,                        SYS_UNDET,          ENF_VZER_SPD,         FALSE,                  ,             ALL_CLOSED,   FALSE,              FALSE,               SYS_UNDET,         ,             ,             .00,                     .00,                     .00,                        .00,                    ,             BRAKES_OK,                .00,              ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             
20 Jun 2019 15:56:06:0507,   ,             5102019,                3.2,             0x5145A083,   ,             1.4,             3132019,                0x89C9C5D5,   ,             15.01,             15.01,             15.01,             3182019,        ,             RM_MODE,         NO REQ,                         .00,           ,             FALSE,                      .00,                     .00,                      .00,                     ,             .00,                     .00,                     ,             15.53,            .00,                   .00,                 ,             5000.00,              152,               152,                        SYS_UNDET,          ENF_VZER_SPD,         FALSE,                  ,             ALL_CLOSED,   FALSE,              FALSE,               SYS_UNDET,         ,             ,             .00,                     .00,                     .00,                        .00,                    ,             BRAKES_OK,                .00,              ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             
20 Jun 2019 15:56:06:0567,   ,             5102019,                3.2,             0x5145A083,   ,             1.4,             3132019,                0x89C9C5D5,   ,             15.01,             15.01,             15.01,             3182019,        ,             RM_MODE,         NO REQ,                         .00,           ,             FALSE,                      .00,                     .00,                      .00,                     ,             .00,                     .00,                     ,             15.53,            .00,                   .00,                 ,             5000.00,              152,               152,                        SYS_UNDET,          ENF_VZER_SPD,         FALSE,                  ,             ALL_CLOSED,   FALSE,              FALSE,               SYS_UNDET,         ,             ,             .00,                     .00,                     .00,                        .00,                    ,             BRAKES_OK,                .00,              ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             
20 Jun 2019 15:56:06:0627,   ,             5102019,                3.2,             0x5145A083,   ,             1.4,             3132019,                0x89C9C5D5,   ,             15.01,             15.01,             15.01,             3182019,        ,             RM_MODE,         NO REQ,                         .00,           ,             FALSE,                      .00,                     .00,                      .00,                     ,             .00,                     .00,                     ,             15.53,            .00,                   .00,                 ,             5000.00,              152,               152,                        SYS_UNDET,          ENF_VZER_SPD,         FALSE,                  ,             ALL_CLOSED,   FALSE,              FALSE,               SYS_UNDET,         ,             ,             .00,                     .00,                     .00,                        .00,                    ,             BRAKES_OK,                .00,              ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             
20 Jun 2019 15:56:06:0697,   ,             5102019,                3.2,             0x5145A083,   ,             1.4,             3132019,                0x89C9C5D5,   ,             15.01,             15.01,             15.01,             3182019,        ,             RM_MODE,         NO REQ,                         .00,           ,             FALSE,                      .00,                     .00,                      .00,                     ,             .00,                     .00,                     ,             15.53,            .00,                   .00,                 ,             5000.00,              152,               152,                        SYS_UNDET,          ENF_VZER_SPD,         FALSE,                  ,             ALL_CLOSED,   FALSE,              FALSE,               SYS_UNDET,         ,             ,             .00,                     .00,                     .00,                        .00,                    ,             BRAKES_OK,                .00,              ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             
20 Jun 2019 15:56:06:0757,   ,             5102019,                3.2,             0x5145A083,   ,             1.4,             3132019,                0x89C9C5D5,   ,             15.01,             15.01,             15.01,             3182019,        ,             RM_MODE,         NO REQ,                         .00,           ,             FALSE,                      .00,                     .00,                      .00,                     ,             .00,                     .00,                     ,             15.53,            .00,                   .00,                 ,             5000.00,              152,               152,                        SYS_UNDET,          ENF_VZER_SPD,         FALSE,                  ,             ALL_CLOSED,   FALSE,              FALSE,               SYS_UNDET,         ,             ,             .00,                     .00,                     .00,                        .00,                    ,             BRAKES_OK,                .00,              ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             
20 Jun 2019 15:56:06:0817,   ,             5102019,                3.2,             0x5145A083,   ,             1.4,             3132019,                0x89C9C5D5,   ,             15.01,             15.01,             15.01,             3182019,        ,             RM_MODE,         NO REQ,                         .00,           ,             FALSE,                      .00,                     .00,                      .00,                     ,             .00,                     .00,                     ,             15.53,            .00,                   .00,                 ,             5000.00,              152,               152,                        SYS_UNDET,          ENF_VZER_SPD,         FALSE,                  ,             ALL_CLOSED,   FALSE,              FALSE,               SYS_UNDET,         ,             ,             .00,                     .00,                     .00,                        .00,                    ,             BRAKES_OK,                .00,              ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             ,             
