Msg ID;Time Stamp; PTU VAR 1 ; PTU VAR 2 ; PTU VAR 3 ; PTU VAR 4 ; PTU VAR 5 ; PTU VAR 6 ; PTU VAR 7 ; PTU VAR 8 ; PTU VAR 9 ; PTU VAR 10 ; PTU VAR 11 ; PTU VAR 12 ; PTU VAR 13 ; PTU VAR 14 ; PTU VAR 15 ; PTU VAR 16 ; PTU VAR 17 ; PTU VAR 18 ; PTU VAR 19 ; PTU VAR 20 ; PTU VAR 21 ; PTU VAR 22 ; PTU VAR 23 ; PTU VAR 24 ; PTU VAR 25 ; PTU VAR 26 ; PTU VAR 27 ; PTU VAR 28 ; PTU VAR 29 ; PTU VAR 30 ; PTU VAR 31 ; PTU VAR 32 ; PTU VAR 33 ; PTU VAR 34 ; PTU VAR 35 ; PTU VAR 36 ; PTU VAR 37 ; PTU VAR 38 ; PTU VAR 39 ; PTU VAR 40 ; PTU VAR 41 ; PTU VAR 42 ; PTU VAR 43 ; PTU VAR 44 ; PTU VAR 45 ; PTU VAR 46 ; PTU VAR 47 ; PTU VAR 48 ; PTU VAR 49 ; PTU VAR 50 ; PTU VAR 51 ; PTU VAR 52 ; PTU VAR 53 ; PTU VAR 54 ; PTU VAR 55 ; PTU VAR 56 ; PTU VAR 57 ; PTU VAR 58 ; PTU VAR 59 ; PTU VAR 60 ; PTU VAR 61 ; PTU VAR 62 ; PTU VAR 63 ; PTU VAR 64 ; PTU VAR 65 ; PTU VAR 66 ; PTU VAR 67 ; PTU VAR 68 ; PTU VAR 69 ; PTU VAR 70 ; PTU VAR 71 ; PTU VAR 72 ; PTU VAR 73 ; PTU VAR 74 ; PTU VAR 75 ; PTU VAR 76 ; PTU VAR 77 ; PTU VAR 78 ; PTU VAR 79 ; PTU VAR 80 
;;Distance To Station                     ;Actual Acceleration                     ;Command Acceleration                    ;Actual Speed                            ;Command Speed                           ;Tractive Effort Request                 ;RATO Database: PM Accel Rate            ;RATO Database: PM Cruise Speed          ;RATO Database: PM Decel Rate            ;RATO Database: PM Coast Level           ;Command State                           ;PI-Speed Error                          ;Station Target Speed                    ;Reference Velocity                      ;Target Acceleration                     ;SSP - Safe_Speed                        ;SSP - Warning Speed                     ;Operating Mode                          ;Next Platform ID                        ;Head VO Packed                          ;Head Footprint Packed                   ;Remote Head FP Packed                   ;Tail Footprint Packed                   ;Tail VO Packed                          ;Remote Tail FP Packed                   ;Controlling ATC                         ;VATC Craddle Index                      ;Train Operator Mode Selection           ;PM Cruise Speed                         ;Distance To Station MET                 ;Occupied Berths                         ;Debug  0                                ;Debug  1                                ;Debug  2                                ;Debug  3                                ;Debug  4                                ;Debug  5                                ;Debug  6                                ;Debug  7                                ;Debug  8                                ;Debug 9                                 ;Debug 10                                ;Debug 11                                ;Debug 12                                ;Debug 13                                ;Debug 14                                ;Debug 15                                ;Debug 16                                ;Debug 17                                ;Debug 18                                ;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;Debug 19                                ;Change Speed Acceleration               ;Flarein Acceleration                    ;---;---;---;---;---;---;---;---;---;---;---;---
1;13 Nov 2018 12:20:07:0678;3195.1;0.752;0.82;29.16;28.07;1655;100;100;100;0;SPEED_MAINT;-1.09;60;28.58;0.82;30.45;28.58;UTO_MODE;81;10332924.6;10230271.4;0;10220346.5;10220334.2;0;VERDADERO;VATC_B;NO REQ;100;974.5;0x0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1584;;;;;;;;;;;;;;;;0;0.82;2.25;;;;;;;;;;;;
2;13 Nov 2018 12:20:07:0768;3191.1;0.501;0.78;29.12;28.14;1839;100;100;100;0;SPEED_MAINT;-0.98;60;28.58;0.78;30.45;28.58;UTO_MODE;81;10332924.6;10230275.5;0;10220350.4;10220338.1;0;VERDADERO;VATC_B;NO REQ;100;973.2;0x0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1584;;;;;;;;;;;;;;;;0;0.78;2.25;;;;;;;;;;;;
3;13 Nov 2018 12:20:07:0858;3187.1;0.149;0.7;28.97;28.21;2185;100;100;100;0;SPEED_MAINT;-0.76;60;28.58;0.68;30.45;28.58;UTO_MODE;81;10332924.6;10230279.7;0;10220354.2;10220341.9;0;VERDADERO;VATC_B;NO REQ;100;972;0x0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1584;;;;;;;;;;;;;;;;0;0.68;2.25;;;;;;;;;;;;
4;13 Nov 2018 12:20:07:0928;3187.1;0.149;0.7;28.97;28.21;2185;100;100;100;0;SPEED_MAINT;-0.76;60;28.58;0.68;30.45;28.58;UTO_MODE;81;10332924.6;10230279.7;0;10220354.2;10220341.9;0;VERDADERO;VATC_B;NO REQ;100;972;0x0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1584;;;;;;;;;;;;;;;;0;0.68;2.25;;;;;;;;;;;;
5;13 Nov 2018 12:20:07:0988;3181.8;-0.049;0.63;28.78;28.29;2840;100;100;100;0;SPEED_MAINT;-0.49;60;28.58;0.63;30.45;28.58;UTO_MODE;81;10332924.6;10230285.1;0;10220359.4;10220347.1;0;VERDADERO;VATC_B;NO REQ;100;970.4;0x0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1584;;;;;;;;;;;;;;;;0;0.63;2.25;;;;;;;;;;;;
6;13 Nov 2018 12:20:08:0068;3177.8;-0.25;0.58;28.78;28.35;2687;100;100;100;0;SPEED_MAINT;-0.43;60;28.58;0.58;30.45;28.58;UTO_MODE;81;10332924.6;10230289.1;0;10220363.2;10220350.9;0;VERDADERO;VATC_B;NO REQ;100;969.2;0x0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1584;;;;;;;;;;;;;;;;0;0.58;2.25;;;;;;;;;;;;
7;13 Nov 2018 12:20:08:0148;3173.9;-0.25;0.49;28.82;28.4;2017;100;100;100;0;SPEED_MAINT;-0.42;60;28.58;0.45;30.45;28.58;UTO_MODE;81;10332924.6;10230293.3;0;10220367;10220354.7;0;VERDADERO;VATC_B;NO REQ;100;968;0x0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1588;;;;;;;;;;;;;;;;0;0.45;2.25;;;;;;;;;;;;
8;13 Nov 2018 12:20:08:0208;3173.9;-0.25;0.49;28.82;28.4;2017;100;100;100;0;SPEED_MAINT;-0.42;60;28.58;0.45;30.45;28.58;UTO_MODE;81;10332924.6;10230293.3;0;10220367;10220354.7;0;VERDADERO;VATC_B;NO REQ;100;968;0x0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1588;;;;;;;;;;;;;;;;0;0.45;2.25;;;;;;;;;;;;
9;13 Nov 2018 12:20:08:0268;3169.9;-0.452;0.45;28.75;28.44;2223;100;100;100;0;SPEED_MAINT;-0.31;60;28.58;0.45;30.45;28.58;UTO_MODE;81;10332924.6;10230297.3;0;10220370.8;10220358.5;0;VERDADERO;VATC_B;NO REQ;100;966.8;0x0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1588;;;;;;;;;;;;;;;;0;0.45;2.25;;;;;;;;;;;;
